year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2015,8,Nou Barris,50,les Roquetes,1620.0,437.0,1670.0,231.0,1068.0,165.0,984.0,306.0,,
2015,8,Nou Barris,51,Verdun,1704.0,355.0,1521.0,164.0,843.0,110.0,652.0,194.0,,
2015,8,Nou Barris,52,la Prosperitat,3173.0,585.0,3417.0,286.0,2062.0,204.0,1537.0,312.0,,
2015,8,Nou Barris,53,la Trinitat Nova,945.0,188.0,808.0,92.0,474.0,58.0,455.0,141.0,,
2015,8,Nou Barris,54,Torre Baró,228.0,86.0,229.0,39.0,172.0,33.0,241.0,38.0,,
2015,8,Nou Barris,55,Ciutat Meridiana,933.0,321.0,1037.0,166.0,602.0,152.0,573.0,308.0,,
2015,8,Nou Barris,56,Vallbona,148.0,31.0,116.0,16.0,90.0,11.0,100.0,13.0,,
2015,9,Sant Andreu,57,la Trinitat Vella,885.0,339.0,916.0,202.0,627.0,129.0,613.0,294.0,,
2015,9,Sant Andreu,58,Baró de Viver,297.0,65.0,252.0,21.0,171.0,9.0,199.0,22.0,,
2015,9,Sant Andreu,59,el Bon Pastor,1138.0,293.0,1293.0,126.0,914.0,70.0,1022.0,146.0,,
2015,9,Sant Andreu,60,Sant Andreu,6754.0,1150.0,7092.0,345.0,4840.0,201.0,4069.0,292.0,,
2015,9,Sant Andreu,61,la Sagrera,3359.0,778.0,3683.0,305.0,2342.0,200.0,1811.0,279.0,,
2015,9,Sant Andreu,62,el Congrés i els Indians,1996.0,396.0,1705.0,145.0,1028.0,79.0,907.0,165.0,,
2015,9,Sant Andreu,63,Navas,2664.0,635.0,2741.0,271.0,1709.0,152.0,1378.0,246.0,,
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,5414.0,1446.0,4718.0,582.0,2840.0,379.0,2116.0,383.0,,
2015,10,Sant Martí,65,el Clot,3135.0,861.0,2992.0,321.0,2032.0,189.0,1933.0,295.0,,
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1938.0,658.0,1656.0,256.0,1025.0,140.0,824.0,201.0,,
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,838.0,447.0,817.0,154.0,681.0,92.0,773.0,90.0,,
2015,10,Sant Martí,68,el Poblenou,4201.0,1470.0,3429.0,585.0,2303.0,306.0,2334.0,382.0,,
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1647.0,585.0,1358.0,229.0,940.0,111.0,911.0,177.0,,
2015,10,Sant Martí,70,el Besòs i el Maresme,2399.0,627.0,2363.0,356.0,1439.0,244.0,1332.0,584.0,,
2015,10,Sant Martí,71,Provençals del Poblenou,2222.0,598.0,2273.0,228.0,1682.0,161.0,1380.0,195.0,,
2015,10,Sant Martí,72,Sant Martí de Provençals,3099.0,604.0,3281.0,229.0,2022.0,160.0,1734.0,219.0,,
2015,10,Sant Martí,73,la Verneda i la Pau,3013.0,544.0,3716.0,229.0,2273.0,147.0,1963.0,286.0,,
2015,99,No consta,99,No consta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016,1,Ciutat Vella,1,el Raval,6071.0,3208.0,3250.0,1656.0,1563.0,1123.0,1415.0,2186.0,,
2016,1,Ciutat Vella,2,el Barri Gòtic,2354.0,1433.0,1234.0,743.0,567.0,351.0,458.0,450.0,,
2016,1,Ciutat Vella,3,la Barceloneta,2484.0,1284.0,1444.0,670.0,723.0,295.0,596.0,253.0,,
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3790.0,2215.0,1944.0,1036.0,896.0,495.0,694.0,547.0,,
2016,2,Eixample,5,el Fort Pienc,4189.0,1427.0,3377.0,587.0,2161.0,335.0,1749.0,472.0,,
2016,2,Eixample,6,la Sagrada Família,7549.0,2274.0,5954.0,1002.0,3443.0,546.0,2869.0,625.0,,
2016,2,Eixample,7,la Dreta de l'Eixample,6389.0,2687.0,4365.0,944.0,2582.0,485.0,2661.0,543.0,,
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,6534.0,2458.0,4515.0,914.0,2562.0,450.0,2405.0,444.0,,
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,8395.0,2591.0,6663.0,991.0,3852.0,523.0,3446.0,670.0,,
2016,2,Eixample,10,Sant Antoni,5939.0,1930.0,4410.0,786.0,2460.0,399.0,1935.0,562.0,,
2016,3,Sants-Montjuïc,11,el Poble Sec,5619.0,2287.0,4035.0,1088.0,2247.0,617.0,1730.0,958.0,,
