year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2015,8,Nou Barris,56,Vallbona,37,209,183,75,0,28,47,208,164,71,1,67
2015,9,Sant Andreu,57,la Trinitat Vella,299,1759,1383,761,0,184,433,1478,1132,688,0,306
2015,9,Sant Andreu,58,Baró de Viver,54,382,365,152,0,47,61,403,332,127,1,107
2015,9,Sant Andreu,59,el Bon Pastor,523,1653,1637,1090,1,221,711,1683,1395,985,2,383
2015,9,Sant Andreu,60,Sant Andreu,4599,4412,5753,7098,3,735,6334,5973,6019,6290,9,1372
2015,9,Sant Andreu,61,la Sagrera,2277,2358,3073,3553,1,358,3154,3294,3219,3320,4,717
2015,9,Sant Andreu,62,el Congrés i els Indians,1133,1015,1446,1678,1,202,1654,1536,1462,1637,1,471
2015,9,Sant Andreu,63,Navas,2013,1565,2229,2793,5,261,2483,2467,2351,2605,0,551
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,4157,2712,3670,4724,4,428,5056,3865,3849,4378,3,895
2015,10,Sant Martí,65,el Clot,2539,2107,2752,3317,4,341,3153,2729,2789,2961,3,660
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1961,1043,1319,1726,2,147,2191,1336,1279,1582,3,294
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,1943,262,447,942,0,105,2067,319,517,871,0,122
2015,10,Sant Martí,68,el Poblenou,3924,2460,2979,3651,4,374,4631,2910,2809,3297,6,817
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1970,683,954,1338,0,153,2267,895,886,1206,0,259
2015,10,Sant Martí,70,el Besòs i el Maresme,822,3776,3025,1741,3,508,1058,3250,2651,1733,2,986
2015,10,Sant Martí,71,Provençals del Poblenou,1685,1789,2219,2332,1,288,2064,2140,2101,2099,2,532
2015,10,Sant Martí,72,Sant Martí de Provençals,1662,2480,2937,2926,9,452,2189,3478,2869,2692,5,928
2015,10,Sant Martí,73,la Verneda i la Pau,1212,3336,3601,2925,4,632,1711,4185,3521,2674,4,1162
2015,99,No consta,99,No consta,0,0,0,0,0,0,0,0,0,1,0,0
2016,1,Ciutat Vella,1,el Raval,4605,8230,5023,3984,395,301,4710,5549,3772,3376,299,721
2016,1,Ciutat Vella,2,el Barri Gòtic,2632,1478,1377,1799,66,100,2830,1129,1020,1629,41,226
2016,1,Ciutat Vella,3,la Barceloneta,1625,1680,1752,1477,81,181,1877,1646,1508,1324,62,467
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3530,2013,1814,2346,135,120,4043,1881,1509,2196,121,376
2016,2,Eixample,5,el Fort Pienc,4746,1602,2359,3849,198,140,5544,2312,2765,3717,158,399
2016,2,Eixample,6,la Sagrada Família,7153,2644,4060,6135,277,285,8804,4427,4798,5923,272,850
2016,2,Eixample,7,la Dreta de l'Eixample,8848,1204,2152,4742,275,74,10001,2152,2737,5246,254,412
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,7851,1327,2354,4985,241,129,8937,2408,2972,5112,218,452
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,9552,2413,3874,7030,321,200,10938,4143,4769,6935,293,676
2016,2,Eixample,10,Sant Antoni,5374,2347,3105,4632,221,216,6165,3368,3447,4205,197,649
2016,3,Sants-Montjuïc,11,el Poble Sec,3716,4546,4300,4091,280,291,4731,4677,3824,3647,238,839
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,18,208,187,56,8,20,33,219,131,55,9,44
