"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Home","Espanya",11732
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Espanya",4214
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","Espanya",4607
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Espanya",6235
2018,2,"Eixample",5,"el Fort Pienc","Home","Espanya",11532
2018,2,"Eixample",6,"la Sagrada Família","Home","Espanya",18692
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","Espanya",15761
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Espanya",15241
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Espanya",21884
2018,2,"Eixample",10,"Sant Antoni","Home","Espanya",13915
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Espanya",12996
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Espanya",552
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Espanya",12527
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Espanya",3862
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Espanya",5763
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","Espanya",7651
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Espanya",9214
2018,3,"Sants-Montjuïc",18,"Sants","Home","Espanya",15761
2018,4,"Les Corts",19,"les Corts","Home","Espanya",18848
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Espanya",9796
2018,4,"Les Corts",21,"Pedralbes","Home","Espanya",4621
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Espanya",2005
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Espanya",10088
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Espanya",7073
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Espanya",10502
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Espanya",18853
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Espanya",11639
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Espanya",6251
2018,6,"Gràcia",29,"el Coll","Home","Espanya",2953
2018,6,"Gràcia",30,"la Salut","Home","Espanya",5208
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","Espanya",17940
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Espanya",13522
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Espanya",10137
2018,7,"Horta-Guinardó",34,"Can Baró","Home","Espanya",3617
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","Espanya",14699
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Espanya",4201
2018,7,"Horta-Guinardó",37,"el Carmel","Home","Espanya",12817
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","Espanya",4810
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Espanya",2840
2018,7,"Horta-Guinardó",40,"Montbau","Home","Espanya",2005
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Espanya",2465
2018,7,"Horta-Guinardó",42,"la Clota","Home","Espanya",288
2018,7,"Horta-Guinardó",43,"Horta","Home","Espanya",11116
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Espanya",10111
2018,8,"Nou Barris",45,"Porta","Home","Espanya",9858
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","Espanya",5582
2018,8,"Nou Barris",47,"Can Peguera","Home","Espanya",958
2018,8,"Nou Barris",48,"la Guineueta","Home","Espanya",6531
2018,8,"Nou Barris",49,"Canyelles","Home","Espanya",3116
