"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Itàlia",759
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Itàlia",753
2020,2,"Eixample",10,"Sant Antoni","Dona","Itàlia",583
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Itàlia",860
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Itàlia",1
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Itàlia",126
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Itàlia",165
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Itàlia",233
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Itàlia",139
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Itàlia",178
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Itàlia",409
2020,4,"Les Corts",19,"les Corts","Dona","Itàlia",296
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Itàlia",151
2020,4,"Les Corts",21,"Pedralbes","Dona","Itàlia",92
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Itàlia",48
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Itàlia",245
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Itàlia",87
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Itàlia",195
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Itàlia",463
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Itàlia",360
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Itàlia",179
2020,6,"Gràcia",29,"el Coll","Dona","Itàlia",76
2020,6,"Gràcia",30,"la Salut","Dona","Itàlia",168
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Itàlia",1138
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Itàlia",468
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Itàlia",269
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Itàlia",96
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Itàlia",327
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Itàlia",51
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Itàlia",187
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Itàlia",68
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Itàlia",39
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Itàlia",42
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Itàlia",26
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Itàlia",9
2020,7,"Horta-Guinardó",43,"Horta","Dona","Itàlia",107
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Itàlia",109
2020,8,"Nou Barris",45,"Porta","Dona","Itàlia",76
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Itàlia",49
2020,8,"Nou Barris",47,"Can Peguera","Dona","Itàlia",8
2020,8,"Nou Barris",48,"la Guineueta","Dona","Itàlia",31
2020,8,"Nou Barris",49,"Canyelles","Dona","Itàlia",13
2020,8,"Nou Barris",50,"les Roquetes","Dona","Itàlia",57
2020,8,"Nou Barris",51,"Verdun","Dona","Itàlia",59
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Itàlia",76
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Itàlia",23
2020,8,"Nou Barris",54,"Torre Baró","Dona","Itàlia",6
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Itàlia",13
2020,8,"Nou Barris",56,"Vallbona","Dona","Itàlia",7
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Itàlia",30
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Itàlia",9
