"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Home","Espanya",11976
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Espanya",4386
2016,1,"Ciutat Vella",3,"la Barceloneta","Home","Espanya",4943
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Espanya",6471
2016,2,"Eixample",5,"el Fort Pienc","Home","Espanya",11804
2016,2,"Eixample",6,"la Sagrada Família","Home","Espanya",19207
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home","Espanya",16037
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Espanya",15400
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Espanya",22193
2016,2,"Eixample",10,"Sant Antoni","Home","Espanya",14119
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Espanya",13378
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Espanya",543
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Espanya",12701
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Espanya",3915
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Espanya",5899
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home","Espanya",7565
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Espanya",9288
2016,3,"Sants-Montjuïc",18,"Sants","Home","Espanya",15873
2016,4,"Les Corts",19,"les Corts","Home","Espanya",19092
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Espanya",9931
2016,4,"Les Corts",21,"Pedralbes","Home","Espanya",4681
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Espanya",1994
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Espanya",10120
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Espanya",7032
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Espanya",10607
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Espanya",18901
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Espanya",11603
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Espanya",6239
2016,6,"Gràcia",29,"el Coll","Home","Espanya",2983
2016,6,"Gràcia",30,"la Salut","Home","Espanya",5272
2016,6,"Gràcia",31,"la Vila de Gràcia","Home","Espanya",18382
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Espanya",13567
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Espanya",10204
2016,7,"Horta-Guinardó",34,"Can Baró","Home","Espanya",3662
2016,7,"Horta-Guinardó",35,"el Guinardó","Home","Espanya",14620
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Espanya",4237
2016,7,"Horta-Guinardó",37,"el Carmel","Home","Espanya",13045
2016,7,"Horta-Guinardó",38,"la Teixonera","Home","Espanya",4759
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Espanya",2829
2016,7,"Horta-Guinardó",40,"Montbau","Home","Espanya",2023
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Espanya",2484
2016,7,"Horta-Guinardó",42,"la Clota","Home","Espanya",263
2016,7,"Horta-Guinardó",43,"Horta","Home","Espanya",11161
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Espanya",10199
2016,8,"Nou Barris",45,"Porta","Home","Espanya",9902
2016,8,"Nou Barris",46,"el Turó de la Peira","Home","Espanya",5590
2016,8,"Nou Barris",47,"Can Peguera","Home","Espanya",969
2016,8,"Nou Barris",48,"la Guineueta","Home","Espanya",6505
2016,8,"Nou Barris",49,"Canyelles","Home","Espanya",3179
2016,8,"Nou Barris",50,"les Roquetes","Home","Espanya",6001
2016,8,"Nou Barris",51,"Verdun","Home","Espanya",4692
2016,8,"Nou Barris",52,"la Prosperitat","Home","Espanya",10718
2016,8,"Nou Barris",53,"la Trinitat Nova","Home","Espanya",2801
