"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Home","Espanya",11920
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Espanya",4307
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","Espanya",4745
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Espanya",6400
2017,2,"Eixample",5,"el Fort Pienc","Home","Espanya",11639
2017,2,"Eixample",6,"la Sagrada Família","Home","Espanya",19034
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","Espanya",15938
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Espanya",15405
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Espanya",22028
2017,2,"Eixample",10,"Sant Antoni","Home","Espanya",14030
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Espanya",13278
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Espanya",552
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Espanya",12660
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Espanya",3898
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Espanya",5821
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","Espanya",7548
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Espanya",9258
2017,3,"Sants-Montjuïc",18,"Sants","Home","Espanya",15862
2017,4,"Les Corts",19,"les Corts","Home","Espanya",18981
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Espanya",9918
2017,4,"Les Corts",21,"Pedralbes","Home","Espanya",4660
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Espanya",2004
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Espanya",10141
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Espanya",7039
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Espanya",10530
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Espanya",18898
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Espanya",11656
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Espanya",6246
2017,6,"Gràcia",29,"el Coll","Home","Espanya",2984
2017,6,"Gràcia",30,"la Salut","Home","Espanya",5251
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","Espanya",18148
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Espanya",13518
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Espanya",10196
2017,7,"Horta-Guinardó",34,"Can Baró","Home","Espanya",3611
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","Espanya",14694
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Espanya",4207
2017,7,"Horta-Guinardó",37,"el Carmel","Home","Espanya",12958
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","Espanya",4815
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Espanya",2828
2017,7,"Horta-Guinardó",40,"Montbau","Home","Espanya",2037
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Espanya",2501
2017,7,"Horta-Guinardó",42,"la Clota","Home","Espanya",271
2017,7,"Horta-Guinardó",43,"Horta","Home","Espanya",11158
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Espanya",10164
2017,8,"Nou Barris",45,"Porta","Home","Espanya",9908
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","Espanya",5611
2017,8,"Nou Barris",47,"Can Peguera","Home","Espanya",971
2017,8,"Nou Barris",48,"la Guineueta","Home","Espanya",6515
2017,8,"Nou Barris",49,"Canyelles","Home","Espanya",3129
2017,8,"Nou Barris",50,"les Roquetes","Home","Espanya",6002
2017,8,"Nou Barris",51,"Verdun","Home","Espanya",4680
2017,8,"Nou Barris",52,"la Prosperitat","Home","Espanya",10613
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","Espanya",2772
2017,8,"Nou Barris",54,"Torre Baró","Home","Espanya",1163
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","Espanya",3565
2017,8,"Nou Barris",56,"Vallbona","Home","Espanya",586
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","Espanya",3504
2017,9,"Sant Andreu",58,"Baró de Viver","Home","Espanya",1098
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","Espanya",5356
2017,9,"Sant Andreu",60,"Sant Andreu","Home","Espanya",24892
2017,9,"Sant Andreu",61,"la Sagrera","Home","Espanya",11913
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Espanya",5606
2017,9,"Sant Andreu",63,"Navas","Home","Espanya",8848
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Espanya",14817
2017,10,"Sant Martí",65,"el Clot","Home","Espanya",11018
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Espanya",5636
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Espanya",3833
2017,10,"Sant Martí",68,"el Poblenou","Home","Espanya",13413
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Espanya",5457
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Espanya",8083
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","Espanya",8481
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Espanya",10724
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","Espanya",12012
2017,1,"Ciutat Vella",1,"el Raval","Home","Itàlia",931
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Itàlia",597
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","Itàlia",517
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Itàlia",813
2017,2,"Eixample",5,"el Fort Pienc","Home","Itàlia",533
2017,2,"Eixample",6,"la Sagrada Família","Home","Itàlia",634
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","Itàlia",766
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Itàlia",621
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Itàlia",740
2017,2,"Eixample",10,"Sant Antoni","Home","Itàlia",606
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Itàlia",683
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Itàlia",5
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Itàlia",106
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Itàlia",119
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Itàlia",189
