"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Home","Espanya",11515
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Espanya",4166
2019,1,"Ciutat Vella",3,"la Barceloneta","Home","Espanya",4447
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Espanya",6167
2019,2,"Eixample",5,"el Fort Pienc","Home","Espanya",11426
2019,2,"Eixample",6,"la Sagrada Família","Home","Espanya",18422
2019,2,"Eixample",7,"la Dreta de l'Eixample","Home","Espanya",15499
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Espanya",15051
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Espanya",21608
2019,2,"Eixample",10,"Sant Antoni","Home","Espanya",13769
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Espanya",12817
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Espanya",554
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Espanya",12380
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Espanya",3804
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Espanya",5733
2019,3,"Sants-Montjuïc",16,"la Bordeta","Home","Espanya",7753
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Espanya",9204
2019,3,"Sants-Montjuïc",18,"Sants","Home","Espanya",15629
2019,4,"Les Corts",19,"les Corts","Home","Espanya",18802
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Espanya",9707
2019,4,"Les Corts",21,"Pedralbes","Home","Espanya",4596
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Espanya",2004
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Espanya",9947
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Espanya",7017
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Espanya",10456
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Espanya",18767
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Espanya",11588
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Espanya",6232
2019,6,"Gràcia",29,"el Coll","Home","Espanya",2940
2019,6,"Gràcia",30,"la Salut","Home","Espanya",5193
2019,6,"Gràcia",31,"la Vila de Gràcia","Home","Espanya",17772
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Espanya",13467
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Espanya",10074
2019,7,"Horta-Guinardó",34,"Can Baró","Home","Espanya",3608
2019,7,"Horta-Guinardó",35,"el Guinardó","Home","Espanya",14602
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Espanya",4189
2019,7,"Horta-Guinardó",37,"el Carmel","Home","Espanya",12690
2019,7,"Horta-Guinardó",38,"la Teixonera","Home","Espanya",4743
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Espanya",2835
2019,7,"Horta-Guinardó",40,"Montbau","Home","Espanya",2010
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Espanya",2494
2019,7,"Horta-Guinardó",42,"la Clota","Home","Espanya",299
2019,7,"Horta-Guinardó",43,"Horta","Home","Espanya",11043
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Espanya",10039
2019,8,"Nou Barris",45,"Porta","Home","Espanya",9836
2019,8,"Nou Barris",46,"el Turó de la Peira","Home","Espanya",5573
2019,8,"Nou Barris",47,"Can Peguera","Home","Espanya",946
2019,8,"Nou Barris",48,"la Guineueta","Home","Espanya",6458
2019,8,"Nou Barris",49,"Canyelles","Home","Espanya",3082
2019,8,"Nou Barris",50,"les Roquetes","Home","Espanya",5997
2019,8,"Nou Barris",51,"Verdun","Home","Espanya",4576
2019,8,"Nou Barris",52,"la Prosperitat","Home","Espanya",10522
2019,8,"Nou Barris",53,"la Trinitat Nova","Home","Espanya",2751
2019,8,"Nou Barris",54,"Torre Baró","Home","Espanya",1195
2019,8,"Nou Barris",55,"Ciutat Meridiana","Home","Espanya",3565
2019,8,"Nou Barris",56,"Vallbona","Home","Espanya",578
2019,9,"Sant Andreu",57,"la Trinitat Vella","Home","Espanya",3483
2019,9,"Sant Andreu",58,"Baró de Viver","Home","Espanya",1086
2019,9,"Sant Andreu",59,"el Bon Pastor","Home","Espanya",5307
2019,9,"Sant Andreu",60,"Sant Andreu","Home","Espanya",24991
2019,9,"Sant Andreu",61,"la Sagrera","Home","Espanya",11784
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Espanya",5680
2019,9,"Sant Andreu",63,"Navas","Home","Espanya",8689
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Espanya",14656
2019,10,"Sant Martí",65,"el Clot","Home","Espanya",10835
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Espanya",5705
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Espanya",3733
2019,10,"Sant Martí",68,"el Poblenou","Home","Espanya",13161
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Espanya",5327
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Espanya",8063
2019,10,"Sant Martí",71,"Provençals del Poblenou","Home","Espanya",8508
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Espanya",10515
2019,10,"Sant Martí",73,"la Verneda i la Pau","Home","Espanya",11808
2019,1,"Ciutat Vella",1,"el Raval","Home","Itàlia",1139
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Itàlia",675
