"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Home","Espanya",12163
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Espanya",4370
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","Espanya",4961
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Espanya",6528
2015,2,"Eixample",5,"el Fort Pienc","Home","Espanya",11826
2015,2,"Eixample",6,"la Sagrada Família","Home","Espanya",19366
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","Espanya",16043
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Espanya",15494
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Espanya",22259
2015,2,"Eixample",10,"Sant Antoni","Home","Espanya",14186
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Espanya",13409
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Espanya",539
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Espanya",12693
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Espanya",3935
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Espanya",5911
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","Espanya",7598
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Espanya",9388
2015,3,"Sants-Montjuïc",18,"Sants","Home","Espanya",15923
2015,4,"Les Corts",19,"les Corts","Home","Espanya",19129
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Espanya",9925
2015,4,"Les Corts",21,"Pedralbes","Home","Espanya",4680
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Espanya",1980
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Espanya",10125
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Espanya",7010
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Espanya",10532
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Espanya",18931
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Espanya",11580
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Espanya",6312
2015,6,"Gràcia",29,"el Coll","Home","Espanya",2971
2015,6,"Gràcia",30,"la Salut","Home","Espanya",5305
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","Espanya",18445
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Espanya",13585
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Espanya",10204
2015,7,"Horta-Guinardó",34,"Can Baró","Home","Espanya",3653
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","Espanya",14605
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Espanya",4243
2015,7,"Horta-Guinardó",37,"el Carmel","Home","Espanya",13126
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","Espanya",4795
