"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",443
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",124
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",244
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",190
2015,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",290
2015,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",539
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",279
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",313
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",444
2015,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",361
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",446
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",22
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",514
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",134
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",196
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",251
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",351
2015,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",485
2015,4,"Les Corts",19,"les Corts","Home","Sense estudis",413
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",276
2015,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",63
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",44
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",191
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",133
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",170
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",319
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",219
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",146
2015,6,"Gràcia",29,"el Coll","Home","Sense estudis",90
2015,6,"Gràcia",30,"la Salut","Home","Sense estudis",127
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",425
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",300
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",319
2015,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",137
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",438
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",140
2015,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",765
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",233
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",184
2015,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",113
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",75
2015,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",13
2015,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",474
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",406
2015,8,"Nou Barris",45,"Porta","Home","Sense estudis",529
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",334
2015,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",44
2015,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",292
2015,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",144
2015,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",333
2015,8,"Nou Barris",51,"Verdun","Home","Sense estudis",286
2015,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",707
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",127
2015,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",52
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",183
2015,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",28
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",184
2015,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",47
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",221
2015,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",735
2015,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",358
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",202
2015,9,"Sant Andreu",63,"Navas","Home","Sense estudis",261
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",428
2015,10,"Sant Martí",65,"el Clot","Home","Sense estudis",341
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",147
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",105
2015,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",374
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",153
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",508
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",288
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",452
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",632
2015,99,"No consta",99,"No consta","Home","Sense estudis",0
2015,1,"Ciutat Vella",1,"el Raval","Home","Estudis primaris / certificat d'escolaritat / EGB",9031
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Estudis primaris / certificat d'escolaritat / EGB",1567
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","Estudis primaris / certificat d'escolaritat / EGB",1782
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Estudis primaris / certificat d'escolaritat / EGB",2225
2015,2,"Eixample",5,"el Fort Pienc","Home","Estudis primaris / certificat d'escolaritat / EGB",1767
2015,2,"Eixample",6,"la Sagrada Família","Home","Estudis primaris / certificat d'escolaritat / EGB",2861
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1338
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1452
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",2679
2015,2,"Eixample",10,"Sant Antoni","Home","Estudis primaris / certificat d'escolaritat / EGB",2557
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Estudis primaris / certificat d'escolaritat / EGB",4893
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Estudis primaris / certificat d'escolaritat / EGB",227
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Estudis primaris / certificat d'escolaritat / EGB",3701
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Estudis primaris / certificat d'escolaritat / EGB",824
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Estudis primaris / certificat d'escolaritat / EGB",1489
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","Estudis primaris / certificat d'escolaritat / EGB",1620
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Estudis primaris / certificat d'escolaritat / EGB",2304
2015,3,"Sants-Montjuïc",18,"Sants","Home","Estudis primaris / certificat d'escolaritat / EGB",3207
2015,4,"Les Corts",19,"les Corts","Home","Estudis primaris / certificat d'escolaritat / EGB",1984
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Estudis primaris / certificat d'escolaritat / EGB",1238
2015,4,"Les Corts",21,"Pedralbes","Home","Estudis primaris / certificat d'escolaritat / EGB",242
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Estudis primaris / certificat d'escolaritat / EGB",180
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Estudis primaris / certificat d'escolaritat / EGB",619
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Estudis primaris / certificat d'escolaritat / EGB",252
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Estudis primaris / certificat d'escolaritat / EGB",650
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Estudis primaris / certificat d'escolaritat / EGB",956
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Estudis primaris / certificat d'escolaritat / EGB",668
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Estudis primaris / certificat d'escolaritat / EGB",695
2015,6,"Gràcia",29,"el Coll","Home","Estudis primaris / certificat d'escolaritat / EGB",495
