"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2017,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",264
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",87
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",152
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",104
2017,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",123
2017,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",255
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",66
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",112
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",173
2017,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",193
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",258
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",17
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",297
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",83
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",111
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",152
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",232
2017,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",270
2017,4,"Les Corts",19,"les Corts","Home","Sense estudis",159
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",141
2017,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",11
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",14
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",44
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",11
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",22
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",37
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",46
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",75
2017,6,"Gràcia",29,"el Coll","Home","Sense estudis",56
2017,6,"Gràcia",30,"la Salut","Home","Sense estudis",46
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",199
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",134
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",174
2017,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",74
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",226
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",53
2017,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",537
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",152
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",121
2017,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",84
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",42
2017,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",10
2017,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",323
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",248
2017,8,"Nou Barris",45,"Porta","Home","Sense estudis",381
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",225
2017,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",25
2017,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",184
2017,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",98
2017,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",232
2017,8,"Nou Barris",51,"Verdun","Home","Sense estudis",204
2017,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",493
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",75
2017,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",33
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",119
2017,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",21
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",119
2017,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",22
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",133
2017,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",393
2017,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",208
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",105
2017,9,"Sant Andreu",63,"Navas","Home","Sense estudis",142
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",220
2017,10,"Sant Martí",65,"el Clot","Home","Sense estudis",159
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",65
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",10
2017,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",197
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",89
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",347
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",170
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",267
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",420
2017,1,"Ciutat Vella",1,"el Raval","Home","Estudis primaris / certificat d'escolaritat / EGB",7431
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Estudis primaris / certificat d'escolaritat / EGB",1454
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","Estudis primaris / certificat d'escolaritat / EGB",1559
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Estudis primaris / certificat d'escolaritat / EGB",1871
2017,2,"Eixample",5,"el Fort Pienc","Home","Estudis primaris / certificat d'escolaritat / EGB",1527
2017,2,"Eixample",6,"la Sagrada Família","Home","Estudis primaris / certificat d'escolaritat / EGB",2484
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1133
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Estudis primaris / certificat d'escolaritat / EGB",1255
