"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","Sense estudis",440
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Sense estudis",146
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Sense estudis",273
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Sense estudis",223
2020,2,"Eixample",5,"el Fort Pienc","Dona","Sense estudis",262
2020,2,"Eixample",6,"la Sagrada Família","Dona","Sense estudis",513
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Sense estudis",251
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Sense estudis",263
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Sense estudis",427
2020,2,"Eixample",10,"Sant Antoni","Dona","Sense estudis",437
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Sense estudis",534
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Sense estudis",31
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Sense estudis",555
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Sense estudis",169
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Sense estudis",185
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Sense estudis",293
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Sense estudis",380
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Sense estudis",536
2020,4,"Les Corts",19,"les Corts","Dona","Sense estudis",363
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Sense estudis",288
2020,4,"Les Corts",21,"Pedralbes","Dona","Sense estudis",25
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Sense estudis",33
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Sense estudis",123
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Sense estudis",36
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Sense estudis",101
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Sense estudis",132
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Sense estudis",115
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Sense estudis",159
2020,6,"Gràcia",29,"el Coll","Dona","Sense estudis",102
2020,6,"Gràcia",30,"la Salut","Dona","Sense estudis",111
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Sense estudis",507
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Sense estudis",324
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Sense estudis",419
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Sense estudis",169
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Sense estudis",448
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Sense estudis",100
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Sense estudis",805
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Sense estudis",248
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Sense estudis",184
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Sense estudis",158
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Sense estudis",86
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Sense estudis",10
2020,7,"Horta-Guinardó",43,"Horta","Dona","Sense estudis",564
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Sense estudis",496
2020,8,"Nou Barris",45,"Porta","Dona","Sense estudis",586
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Sense estudis",436
2020,8,"Nou Barris",47,"Can Peguera","Dona","Sense estudis",63
2020,8,"Nou Barris",48,"la Guineueta","Dona","Sense estudis",353
2020,8,"Nou Barris",49,"Canyelles","Dona","Sense estudis",164
2020,8,"Nou Barris",50,"les Roquetes","Dona","Sense estudis",370
2020,8,"Nou Barris",51,"Verdun","Dona","Sense estudis",307
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Sense estudis",771
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Sense estudis",213
2020,8,"Nou Barris",54,"Torre Baró","Dona","Sense estudis",55
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Sense estudis",181
2020,8,"Nou Barris",56,"Vallbona","Dona","Sense estudis",39
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Sense estudis",168
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Sense estudis",56
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Sense estudis",195
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Sense estudis",724
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Sense estudis",403
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Sense estudis",246
2020,9,"Sant Andreu",63,"Navas","Dona","Sense estudis",283
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Sense estudis",479
2020,10,"Sant Martí",65,"el Clot","Dona","Sense estudis",311
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Sense estudis",181
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Sense estudis",37
2020,10,"Sant Martí",68,"el Poblenou","Dona","Sense estudis",384
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Sense estudis",125
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Sense estudis",574
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Sense estudis",308
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Sense estudis",493
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Sense estudis",654
2020,1,"Ciutat Vella",1,"el Raval","Dona","Estudis primaris / certificat d'escolaritat / EGB",4555
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Estudis primaris / certificat d'escolaritat / EGB",1123
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Estudis primaris / certificat d'escolaritat / EGB",1350
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Estudis primaris / certificat d'escolaritat / EGB",1566
2020,2,"Eixample",5,"el Fort Pienc","Dona","Estudis primaris / certificat d'escolaritat / EGB",1999
2020,2,"Eixample",6,"la Sagrada Família","Dona","Estudis primaris / certificat d'escolaritat / EGB",3608
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Estudis primaris / certificat d'escolaritat / EGB",1745
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Estudis primaris / certificat d'escolaritat / EGB",1905
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Estudis primaris / certificat d'escolaritat / EGB",3355
2020,2,"Eixample",10,"Sant Antoni","Dona","Estudis primaris / certificat d'escolaritat / EGB",2786
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Estudis primaris / certificat d'escolaritat / EGB",3801
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Estudis primaris / certificat d'escolaritat / EGB",200
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Estudis primaris / certificat d'escolaritat / EGB",3843
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Estudis primaris / certificat d'escolaritat / EGB",899
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Estudis primaris / certificat d'escolaritat / EGB",1367
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Estudis primaris / certificat d'escolaritat / EGB",1888
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Estudis primaris / certificat d'escolaritat / EGB",2458
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Estudis primaris / certificat d'escolaritat / EGB",3376
2020,4,"Les Corts",19,"les Corts","Dona","Estudis primaris / certificat d'escolaritat / EGB",2526
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Estudis primaris / certificat d'escolaritat / EGB",1604
2020,4,"Les Corts",21,"Pedralbes","Dona","Estudis primaris / certificat d'escolaritat / EGB",389
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Estudis primaris / certificat d'escolaritat / EGB",181
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Estudis primaris / certificat d'escolaritat / EGB",825
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Estudis primaris / certificat d'escolaritat / EGB",391
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Estudis primaris / certificat d'escolaritat / EGB",723
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Estudis primaris / certificat d'escolaritat / EGB",1358
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Estudis primaris / certificat d'escolaritat / EGB",872
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Estudis primaris / certificat d'escolaritat / EGB",845
2020,6,"Gràcia",29,"el Coll","Dona","Estudis primaris / certificat d'escolaritat / EGB",570
2020,6,"Gràcia",30,"la Salut","Dona","Estudis primaris / certificat d'escolaritat / EGB",740
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Estudis primaris / certificat d'escolaritat / EGB",2818
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Estudis primaris / certificat d'escolaritat / EGB",2049
